 25W12-SB_1216WYHQ1400_cad        Tebo-ICT,  license #WIWYNN

 Test Fixture Nails     480/480  Selected Drills           16-December-2025 18:17
                        480 Nails,  1829 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$134      3.7402    0.6339   2  AA   (T)  #893  FM_CPU_PWRBTN_CPLD_N T PIN TB_TP13.1
$135      3.7773    0.7128   1  AA   (T)  #85   PD_SW1_PIN2      T PIN TB_TP20.1
$136      3.6920    0.7340   1  AA   (T)  #84   PD_SW1_PIN1      T PIN TB_TP21.1
$137      3.5488    0.7338   1  AA   (T)  #1142 PVDD_MISC_VD18   T PIN TB_TP66.1
$138      3.4680    0.9200   3  AA   (T)  #1125 PVDD_MISC_EN_R   T PIN TB_TP157.1
$139      3.4180    0.9190   3  AA   (T)  #1126 PVDD_MISC_PWROK_R T PIN TB_TP156.1
$140      3.3426    0.9157   3  AA   (T)  #1128 PVDD_MISC_SVC_R  T PIN TB_TP155.1
$141      3.2941    0.9172   3  AA   (T)  #1129 PVDD_MISC_SVTO_R T PIN TB_TP154.1
$142      2.7390    0.9240   2  AA   (T)  #1031 P5V_STBY_COME_R_MISC T PIN TB_TP118.1
$143      2.6778    0.9460   3  AA   (T)  #1039 PVDD_MISC_VDD1   T PIN TB_TP153.1
$144      2.5865    1.0060   1  AA   (T)  #1036 PVDD_MISC_EN1    T PIN TB_TP202.1
$145      2.6296    0.0862   1  AA   (T)  #988  UART_ICX_COME_RX T PIN TB_TP273.1
$146      2.3597    0.1527   1  AA   (T)  #426  FM_BMC_READY_N   T PIN TB_TP486.1
$147      2.2900    0.3800   1  AA   (T)  #1217 FM_MEMTRIP_N     T PIN TB_TP481.1
$148      2.2450    0.6120   1  AA   (T)  #924  JTAG_BMC_TDO     T PIN TB_TP414.1
$149      2.3725    0.9387   1  AA   (T)  #1055 PVDDCR_VDD4      T PIN TB_TP144.1
$150      2.2865    1.0060   1  AA   (T)  #1052 PVDDCR_EN4       T PIN TB_TP198.1
$151      2.2570    0.9010   1  AA   (T)  #1218 FM_PCHHOT_N      T PIN TB_TP478.1
$152      2.0662    0.9387   1  AA   (T)  #1062 PVDDCR_VDD3      T PIN TB_TP145.1
$153      1.9865    1.0060   1  AA   (T)  #1059 PVDDCR_EN3       T PIN TB_TP199.1
$154      2.0450    0.8447   3  AA   (T)  #769  FM_CPU_ERR2_LVT3_BUF_N T PIN TB_TP128.1
$155      2.0203    0.8036   3  AA   (T)  #771  RSVD_FPGA_GPIO1  T PIN TB_TP114.1
$156      1.9463    0.7945   1  AA   (T)  #925  JTAG_BMC_TMS     T PIN TB_TP413.1
$157      1.9010    0.8333   3  AA   (T)  #922  JTAG_BMC_TCK     T PIN TB_TP416.1
$158      1.8535    0.8400   3  AA   (T)  #772  FM_CPU_ERR1_LVT3_BUF_N T PIN TB_TP129.1
$159      1.7662    0.9387   1  AA   (T)  #1069 PVDDCR_VDD2      T PIN TB_TP146.1
$160      1.6865    1.0060   1  AA   (T)  #1066 PVDDCR_EN2       T PIN TB_TP200.1
$161      1.3915    1.0060   1  AA   (T)  #1073 PVDDCR_EN1       T PIN TB_TP201.1
$162      1.4668    0.9337   1  AA   (T)  #1076 PVDDCR_VDD1      T PIN TB_TP147.1
$163      1.5441    0.7987   1  AA   (T)  #1193 COME_TYPE_0      T PIN TB_TP499.1
$164      1.6456    0.7204   1  AA   (T)  #1192 COME_TYPE_1      T PIN TB_TP498.1
$165      1.7400    0.7650   1  AA   (T)  #1191 COME_TYPE_2      T PIN TB_TP497.1
$166      1.6933    0.6038   1  AA   (T)  #766  RSVD_FPGA_GPIO2  T PIN TB_TP113.1
$167      1.8415    0.6364   1  AA   (T)  #773  FM_CPU_ERR0_LVT3_BUF_N T PIN TB_TP130.1
$168      1.9710    0.5840   1  AA   (T)  #770  RSVD_FPGA_GPIO0  T PIN TB_TP115.1
$169      1.9000    0.4196   1  AA   (T)  #768  FPGA_CRC_ERR_BUF T PIN TB_TP127.1
$170      1.8270    0.3635   1  AA   (T)  #767  RSVD_FPGA_GPIO3  T PIN TB_TP112.1
$171      1.6274    0.4234   1  AA   (T)  #1231 SMB_PMBUS_STBY_LVC3_SCL_CN T PIN TB_TP299.1
$172      1.5826    0.3030   2  AA   (T)  #872  BATLOW_N         T PIN TB_TP510.1
$173      1.6268    0.1511   1  AA   (T)  #1008 IRQ_LPC_SERIRQ_ESPI_CS1_N T PIN TB_TP91.1
$174      1.5341    0.2401   1  AA   (T)  #1005 BATLOW_N_R       T PIN TB_TP509.1
