 25W12-SB_1212YHQ1340_CAD        Tebo-ICT,  license #WIWYNN

 Test Fixture Nails     465/465  Selected Drills           16-December-2025 18:20
                        465 Nails,  1819 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$1002     5.0840    4.1070   5  AA   (B)  #686  SMB_SENSOR_LVC18_R_SCL T PIN TB_TP128.1
$1003     4.8930    4.3050   5  AA   (B)  #687  FM_I2C_MUX_SEL   T PIN TB_TP159.1
$1004     4.8570    4.1704   5  AA   (B)  #1073 P5V_DIMM_PG      T PIN TB_TP338.1
$1005     4.7940    4.0150   5  AA   (B)  #1072 P5V_DIMM_SW      T PIN TB_TP337.1
$1006     4.7750    3.7850   5  AA   (B)  #819  PWRGD_P5V_DIMM   T PIN TB_TP304.1
$1007     4.6510    3.7700   5  AA   (B)  #812  FM_P3V3_EN       T PIN TB_TP464.1
$1008     4.5840    3.6020   5  AA   (B)  #1109 P1V8_STBY_SW     T PIN TB_TP362.1
$1009     4.7800    3.6000   5  AA   (B)  #642  AGND_P1V8_STBY   T PIN TB_TP499.1
$1010     4.9300    3.7000   5  AA   (B)  #1203 PWRGD_PVDD_MISC_S5 T PIN TB_TP302.1
$1011     4.9897    3.7489   5  AA   (B)  #827  FM_P5V_DIMM_EN   T PIN TB_TP463.1
$1012     5.1050    3.9300   5  AA   (B)  #1070 P5V_DIMM_VIN     T PIN TB_TP335.1
$1013     5.0800    3.8500   5  AA   (B)  #1078 P5V_DIMM_AGND    T PIN TB_TP340.1
$1014     5.0378    3.7605   5  AA   (B)  #1077 P5V_DIMM_EN      T PIN TB_TP339.1
$1015     5.0300    3.6850   5  AA   (B)  #1105 P1V8_STBY_EN     T PIN TB_TP364.1
$1016     4.9950    3.4000   5  AA   (B)  #1110 P1V8_STBY_VIN    T PIN TB_TP360.1
$1017     4.7200    3.2400   5  AA   (B)  #1106 P1V8_STBY_VCC    T PIN TB_TP361.1
$1018     4.7250    3.1800   5  AA   (B)  #1107 P1V8_STBY_PG     T PIN TB_TP363.1
$1019     4.8109    3.1610   5  AA   (B)  #646  AGND_PVDD_MISC_S5 T PIN TB_TP257.1
$1020     4.9488    3.1100   5  AA   (B)  #1096 PVDD_MISC_S5_EN  T PIN TB_TP328.1
$1021     5.2280    2.9150   5  AA   (B)  #1101 PVDD_MISC_S5_VIN T PIN TB_TP324.1
$1022     4.7120    2.7490   5  AA   (B)  #1100 PVDD_MISC_S5_SW  T PIN TB_TP326.1
$1023     4.8120    2.6920   5  AA   (B)  #1097 PVDD_MISC_S5_VCC T PIN TB_TP325.1
$1024     4.7996    2.6389   5  AA   (B)  #1098 PVDD_MISC_S5_PG  T PIN TB_TP327.1
$1025     4.8040    2.5610   5  AA   (B)  #1089 P3V3_STBY_AGND   T PIN TB_TP351.1
$1026     4.8470    2.5238   5  AA   (B)  #1090 P3V3_STBY_VCC    T PIN TB_TP348.1
$1027     4.8850    2.5939   5  AA   (B)  #1084 P3V3_STBY_PG     T PIN TB_TP350.1
$1028     5.1594    2.4615   5  AA   (B)  #1081 P3V3_STBY_VIN    T PIN TB_TP347.1
$1029     5.0794    2.2463   5  AA   (B)  #997  TPM_PP           T PIN TB_TP269.1
$1030     5.1070    2.1130   5  AA   (B)  #717  TPM_SECONDSOURCE_PP T PIN TB_TP268.1
$1031     5.1673    2.1123   5  AA   (B)  #719  TPM_MAINSOURCE_PP T PIN TB_TP270.1
$1032     5.1483    1.8183   5  AA   (B)  #722  IRQ_TPM_PIRQ_N   T PIN TB_TP402.1
$1033     5.1940    1.5870   5  AA   (B)  #1068 P1V_STBY_CPLD_EN T PIN TB_TP119.1
$1034     4.9600    1.7000   5  AA   (B)  #650  P1V_STBY_CPLD_PG T PIN TB_TP118.1
$1035     4.9700    1.9550   5  AA   (B)  #8    P1V8_STBY        T PIN TB_TP365.1
$1036     4.7890    2.0250   5  AA   (B)  #742  PD_FRU_WP        T PIN TB_TP330.1
$1037     4.7890    2.0750   5  AA   (B)  #15   SMB_SENSOR_STBY_LVC3_R_SCL T PIN TB_TP284.1
$1038     4.7840    2.1250   5  AA   (B)  #741  SMBUS_FRU_SCL    T PIN TB_TP281.1
$1039     4.7175    2.1850   5  AA   (B)  #740  SMBUS_FRU_SDA    T PIN TB_TP280.1
$1040     4.6594    2.2500   5  AA   (B)  #1083 P3V3_STBY_SW     T PIN TB_TP349.1
$1041     4.3500    2.1770   5  AA   (B)  #739  BRD_FRU_A2       T PIN TB_TP489.1
$1042     4.3980    2.0723   5  AA   (B)  #738  BRD_FRU_A1       T PIN TB_TP490.1
$1043     4.3870    1.9140   5  AA   (B)  #737  BRD_FRU_A0       T PIN TB_TP491.1
$1044     4.4466    1.9076   5  AA   (B)  #854  EN_LVS_CPLD      T PIN TB_TP10.1
$1045     4.5126    1.9466   5  AA   (B)  #17   EN_LVS_CPLD_R    T PIN TB_TP9.1
$1046     4.6665    1.5866   5  AA   (B)  #1009 PWRGD_P3V3_STBY_N T PIN TB_TP305.1
